(-14.5, 38.125)
(8.5, 36.875)
(19.375, 35.25)
(28.875, 30.75)
(34.25, 25.5)
(40, 16.375)
(41.375, 8.125)
(41.125, -5)
(40.25, -13.375)
(37.75, -22.875)
(31.75, -31.125)
(24.5, -35)
(11.875, -36.875)
(-3.25, -37.125)
(-14, -35.125)
(-24.375, -32)
(-33.5, -26.125)
(-36.5, -20.125)
(-35, -13)
(-30.5, -7.625)
(-23.125, -4)
(-18.5, -4.125)
(-7.75, -6.125)
(3.5, -8)
(10.875, -8)
(16.5, -5)
(18.875, -0.125)
(17.625, 6.375)
(12, 12.375)
(2.5, 13.375)
(-7.375, 12.5)
(-20.25, 11.125)
(-29.5, 13.625)
(-33.375, 18.75)
(-35.5, 25.625)
(-34.875, 31.5)
(-31, 37.375)
(-24.5, 39.375)
